epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.7675,1.15387,2.11158,1.26192,0.49559,0.45756,0.44722,0.20954,1.81768,3.52531,2.08914,0.000654971,0.000654971,0.000654971
2,28.0391,1.09072,1.01778,1.20812,0.29057,0.49077,0.28644,0.11547,1.92193,3.04707,2.28586,0.00130855,0.00130855,0.00130855
3,37.5152,1.14118,1.03047,1.24273,0.37768,0.26937,0.22365,0.10792,2.48881,3.32791,2.75131,0.00194894,0.00194894,0.00194894
4,47.1821,1.1315,0.98604,1.23038,0.50388,0.5572,0.49812,0.29686,1.60339,3.58258,1.90634,0.0019406,0.0019406,0.0019406
5,56.882,1.07003,0.91567,1.19433,0.69883,0.69004,0.74168,0.43824,1.48288,1.81574,1.67594,0.0019208,0.0019208,0.0019208
6,66.5867,1.05532,0.83875,1.16352,0.61679,0.54244,0.5982,0.32338,1.8134,2.00983,1.93475,0.001901,0.001901,0.001901
7,76.2648,1.0241,0.81552,1.16578,0.79055,0.7417,0.82903,0.47975,1.47193,1.13625,1.56624,0.0018812,0.0018812,0.0018812
8,86.1581,0.98118,0.76697,1.13613,0.53332,0.30627,0.32039,0.17214,1.89605,2.44467,1.97903,0.0018614,0.0018614,0.0018614
9,95.9218,0.95956,0.75199,1.13215,0.77307,0.80812,0.85171,0.54488,1.29757,1.1598,1.50564,0.0018416,0.0018416,0.0018416
10,105.781,0.92988,0.72575,1.11926,0.87092,0.76015,0.88224,0.58136,1.25171,1.36573,1.50534,0.0018218,0.0018218,0.0018218
11,115.666,0.89835,0.68318,1.10406,0.80178,0.74908,0.85072,0.54276,1.33796,1.31965,1.59014,0.001802,0.001802,0.001802
12,125.406,0.91146,0.6845,1.1054,0.85808,0.8155,0.90528,0.61846,1.18592,0.82478,1.33753,0.0017822,0.0017822,0.0017822
13,135.156,0.90012,0.67358,1.10002,0.85003,0.84502,0.92438,0.62124,1.26642,0.85471,1.44687,0.0017624,0.0017624,0.0017624
14,145.071,0.88135,0.65128,1.08689,0.91416,0.83395,0.93414,0.63127,1.24737,0.80097,1.45031,0.0017426,0.0017426,0.0017426
15,154.949,0.8788,0.6603,1.0907,0.8553,0.82883,0.91876,0.62426,1.232,0.88952,1.40897,0.0017228,0.0017228,0.0017228
16,164.725,0.8452,0.64692,1.07806,0.82913,0.82288,0.91284,0.63285,1.18889,0.92284,1.38168,0.001703,0.001703,0.001703
17,174.528,0.8398,0.62242,1.07639,0.89647,0.86275,0.94298,0.65476,1.17187,0.75833,1.42597,0.0016832,0.0016832,0.0016832
18,184.332,0.84326,0.61979,1.08035,0.91912,0.84871,0.939,0.65592,1.15814,0.79872,1.39934,0.0016634,0.0016634,0.0016634
19,194.074,0.85011,0.60757,1.07488,0.81837,0.88192,0.92811,0.6435,1.17753,0.89856,1.42959,0.0016436,0.0016436,0.0016436
20,204.142,0.82635,0.57913,1.06602,0.82463,0.86347,0.91881,0.65745,1.12185,0.76051,1.37966,0.0016238,0.0016238,0.0016238
