epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.0397,1.14058,1.57937,1.22971,0.36217,0.51292,0.349,0.18231,1.62602,2.04351,1.90033,0.000654971,0.000654971,0.000654971
2,21.0815,1.06185,0.95284,1.20202,0.10859,0.3321,0.06303,0.02904,1.93501,3.71664,2.42211,0.00130855,0.00130855,0.00130855
3,31.0022,1.07148,0.95269,1.22214,0.41044,0.50185,0.40598,0.2133,1.77752,5.65592,2.07393,0.00194894,0.00194894,0.00194894
4,40.9606,1.0708,0.89093,1.20894,0.81152,0.64945,0.76044,0.46088,1.59633,1.37786,1.99226,0.0019406,0.0019406,0.0019406
5,51.0033,1.01449,0.87719,1.18177,0.73539,0.65634,0.77324,0.48036,1.4295,1.30551,1.70309,0.0019208,0.0019208,0.0019208
6,61.0525,0.99493,0.79437,1.15516,0.75355,0.67897,0.74868,0.43331,1.6539,1.32422,1.89146,0.001901,0.001901,0.001901
7,71.3219,0.97533,0.75876,1.1522,0.85945,0.83764,0.90904,0.60183,1.24997,0.83031,1.51533,0.0018812,0.0018812,0.0018812
8,81.6747,0.94022,0.71364,1.12263,0.83429,0.8155,0.9075,0.58922,1.24952,1.23052,1.43135,0.0018614,0.0018614,0.0018614
9,91.7922,0.90701,0.70025,1.10309,0.89988,0.86234,0.94222,0.63423,1.17707,0.81883,1.42777,0.0018416,0.0018416,0.0018416
10,102.22,0.88302,0.68164,1.10455,0.83865,0.82472,0.88222,0.5983,1.27224,0.86051,1.57378,0.0018218,0.0018218,0.0018218
11,112.799,0.87757,0.65946,1.10347,0.8088,0.78045,0.85026,0.54563,1.26053,1.09068,1.54732,0.001802,0.001802,0.001802
12,122.859,0.88002,0.65839,1.10619,0.86058,0.85609,0.93123,0.63446,1.18689,0.80333,1.47406,0.0017822,0.0017822,0.0017822
13,133.245,0.86063,0.63595,1.09192,0.84347,0.88192,0.91842,0.64174,1.14633,0.85321,1.46958,0.0017624,0.0017624,0.0017624
14,143.876,0.83435,0.60959,1.07433,0.88387,0.84502,0.94357,0.65032,1.11436,0.9035,1.42738,0.0017426,0.0017426,0.0017426
15,154.523,0.84408,0.62583,1.08436,0.85553,0.90406,0.92819,0.64638,1.16115,0.76328,1.40907,0.0017228,0.0017228,0.0017228
16,164.568,0.81896,0.61933,1.06744,0.88313,0.86444,0.93669,0.66901,1.08518,0.79764,1.3478,0.001703,0.001703,0.001703
17,175.083,0.81744,0.59668,1.06601,0.81373,0.88561,0.93152,0.66978,1.10104,0.83354,1.43047,0.0016832,0.0016832,0.0016832
18,185.376,0.81075,0.58323,1.07557,0.87675,0.89668,0.95499,0.70606,1.03397,0.67252,1.37009,0.0016634,0.0016634,0.0016634
19,193.134,0.80321,0.56708,1.06458,0.93424,0.89121,0.96301,0.6747,1.16981,0.67699,1.51282,0.0016436,0.0016436,0.0016436
20,200.779,0.79272,0.56611,1.06195,0.9065,0.90406,0.95937,0.68649,1.10362,0.66687,1.42114,0.0016238,0.0016238,0.0016238
21,207.791,0.77326,0.55516,1.03792,0.88233,0.86347,0.94494,0.69691,1.08155,0.72099,1.3364,0.001604,0.001604,0.001604
22,214.738,0.77393,0.55204,1.04821,0.93457,0.89596,0.95665,0.71739,1.04579,0.65252,1.37734,0.0015842,0.0015842,0.0015842
23,221.694,0.78425,0.55288,1.03822,0.9165,0.91513,0.9688,0.72161,1.00877,0.66438,1.2977,0.0015644,0.0015644,0.0015644
24,228.908,0.76068,0.5268,1.03839,0.93443,0.89397,0.96441,0.72196,1.00459,0.62469,1.30898,0.0015446,0.0015446,0.0015446
25,241.968,0.72993,0.50532,1.0183,0.90591,0.92371,0.95515,0.70698,1.04254,0.61076,1.40843,0.0015248,0.0015248,0.0015248
26,250.602,0.75668,0.52842,1.03899,0.90964,0.91882,0.96811,0.72101,1.00759,0.63045,1.29854,0.001505,0.001505,0.001505
27,259.325,0.72975,0.52423,1.00943,0.94092,0.85609,0.95899,0.73125,1.02302,0.68334,1.33476,0.0014852,0.0014852,0.0014852
28,268.473,0.73085,0.5015,1.0117,0.91758,0.91144,0.96602,0.72453,1.01795,0.58185,1.27756,0.0014654,0.0014654,0.0014654
